ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,log_n_killed,log_n_injured,indegree,outdegree,state_indegree,state_outdegree,prox_indegree,prox_outdegree,rand_ind_t
28,18,2014-02-16,2600 block of South Harwood Street Dallas Texas,1.1090354888959124,1,7,Dallas,Texas,-96.7790179,32.767340000000004,0.6931471805599453,2.0794415416798357,21,22,1,4,2,3,794
29,18,2014-02-16,4500 block of Charlene Terrace Orlando (Pine Hills) Florida,1.0689760711085556,1,6,Orlando (Pine Hills),Florida,-81.4534046,28.5577794,0.6931471805599453,1.9459101490553128,22,21,3,0,2,0,794
30,19,2014-02-20,300 W 1st St Alturas California,1.456190225304303,4,2,Alturas,California,-120.5452488,41.48394520000001,1.6094379124341005,1.0986122886681098,22,23,3,5,1,1,435
31,19,2014-02-20,3400 block of South Parker Indianapolis Indiana,1.1266065387038702,4,0,Indianapolis,Indiana,-86.1139417,39.7170274,1.6094379124341005,0.0,23,22,3,0,5,5,435
32,20,2014-02-22,1200 block of W Papeete St Wilmington California,0.4828313737302301,0,4,Wilmington,California,-118.2778726,33.7868812,0.0,1.6094379124341005,23,23,3,4,1,1,311
33,21,2014-02-25,33325 Graceland Ln Glade Spring Virginia,1.3345506928718538,4,1,Glade Spring,Virginia,-81.78587639999998,36.7840021,1.6094379124341005,0.6931471805599453,22,23,1,0,1,3,945
34,22,2014-03-01,7800 Gratiot Av. Detroit Michigan,0.4828313737302301,0,4,Detroit,Michigan,-83.01477849999998,42.3779806,0.0,1.6094379124341005,22,24,0,0,5,5,1202
35,22,2014-03-01,Hamilton Avenue Pittsburgh Pennsylvania,0.9680344001221916,1,4,Pittsburgh,Pennsylvania,-79.9007297,40.45535539999999,0.6931471805599453,1.6094379124341005,23,23,0,0,1,1,1202
36,23,2014-03-05,Law Street Pelzer South Carolina,1.2999897393843562,3,2,Pelzer,South Carolina,-82.45249,34.6390534,1.3862943611198906,1.0986122886681098,23,23,0,1,1,5,1161
37,24,2014-03-08,4900 West Race Ave Chicago Illinois,0.583773044716594,0,6,Chicago,Illinois,-87.74830899999998,41.890715,0.0,1.9459101490553128,22,23,1,2,6,5,693
38,24,2014-03-08,1600 block of First Street Richmond California,0.9010913347279288,1,3,Richmond,California,-122.368475,37.956275,0.6931471805599453,1.3862943611198906,23,22,4,3,2,2,693
39,25,2014-03-09, 4900 block of West Race Avenue Austin Texas,0.583773044716594,0,6,Austin,Texas,-87.74830899999998,41.890715,0.0,1.9459101490553128,22,22,2,3,7,4,169
40,25,2014-03-09,531 W State St Fremont Ohio,1.178350206951907,3,1,Fremont,Ohio,-83.11653199999998,41.348378,1.3862943611198906,0.6931471805599453,23,21,0,0,9,2,169
41,26,2014-03-14,S. Second and Roebling Sts Brooklyn New York,0.4828313737302301,0,4,Brooklyn,New York,-73.95906149999998,40.7121669,0.0,1.6094379124341005,23,23,0,0,1,2,1082
42,27,2014-03-16,4960 Highway 80 West  Waynesboro Georgia,0.4828313737302301,0,4,Waynesboro,Georgia,-81.84742740000002,33.209855,0.0,1.6094379124341005,23,23,0,0,3,4,179
43,27,2014-03-16,S 4th St Beaumont Texas,1.178350206951907,3,1,Beaumont,Texas,-94.1155643,30.058844300000004,1.3862943611198906,0.6931471805599453,24,22,3,2,2,3,179
44,28,2014-03-21,7550 Dorchester Road North Charleston South Carolina,0.4828313737302301,0,4,North Charleston,South Carolina,-80.0787343,32.9035946,0.0,1.6094379124341005,24,22,1,0,3,1,960
45,29,2014-03-23,601 Long Beach Boulevard Long Beach California,0.9010913347279288,1,3,Long Beach,California,-118.1897511,33.7743901,0.6931471805599453,1.3862943611198906,24,22,5,3,2,1,647
46,29,2014-03-23,Turk and Taylor San Francisco California,0.6238324625039507,0,7,San Francisco,California,-122.4107884,37.7832352,0.0,2.0794415416798357,25,21,6,2,3,1,647
47,29,2014-03-23,2700 Majesty Drive Arlington Texas,0.9010913347279288,1,3,Arlington,Texas,-97.0613775,32.754806800000004,0.6931471805599453,1.3862943611198906,26,20,4,1,2,2,647
48,30,2014-03-30,,0.5375278407684164,0,5,Starkville,Mississippi,-84.389488,33.791638,0.0,1.791759469228055,24,20,0,0,2,3,824
49,30,2014-03-30,4300 Sunset Road Charlotte North Carolina,0.5375278407684164,0,5,Charlotte,North Carolina,-80.8562731,35.3049935,0.0,1.791759469228055,25,19,0,0,5,1,824
50,31,2014-04-02,Motor Pool Road and Tank Destroyer Boulevard Fort Hood Texas,1.9765705419207351,4,16,Fort Hood,Texas,-97.7944469,31.1329784,1.6094379124341005,2.8332133440562166,25,19,5,0,4,0,87
51,32,2014-04-05,Orchid Street  Fairfield California,0.4828313737302301,0,4,Fairfield,California,-122.036953,38.278664,0.0,1.6094379124341005,21,19,5,1,3,0,551
52,32,2014-04-05,5400 block of W Palm Ln Phoenix Arizona,0.9010913347279288,1,3,Phoenix,Arizona,-112.1756867,33.469846399999994,0.6931471805599453,1.3862943611198906,22,18,0,0,0,0,551
53,32,2014-04-05,4300 W Wilcox Street Chicago Illinois,1.022730867160378,1,5,Chicago,Illinois,-87.733109,41.879032,0.6931471805599453,1.791759469228055,23,17,1,4,5,5,551
54,33,2014-04-06,Northwest 29th Street and Portland Avenue Oklahoma City Oklahoma,0.4828313737302301,0,4,Oklahoma City,Oklahoma,-97.583367,35.4987478,0.0,1.6094379124341005,22,18,0,0,1,0,1142
55,33,2014-04-06,90 Worthington St. Springfield Massachusetts,0.4828313737302301,0,4,Springfield,Massachusetts,-72.5937223,42.10316410000001,0.0,1.6094379124341005,23,17,0,0,1,1,1142
56,34,2014-04-07,500 block of South Alexander Street New Orleans Louisiana,0.4828313737302301,0,4,New Orleans,Louisiana,-90.1071864,29.9732273,0.0,1.6094379124341005,23,19,0,1,1,1,15
57,35,2014-04-09,Kellys Ferry Road and Kellys Ferry Place Lookout Valley Tennessee,1.178350206951907,3,1,Lookout Valley,Tennessee,-85.3877316,35.0246925,1.3862943611198906,0.6931471805599453,23,19,0,2,3,3,870
58,35,2014-04-09,300 N Sunset Ave Rockford Illinois,0.5375278407684164,0,5,Rockford,Illinois,-89.1183927,42.2787689,0.0,1.791759469228055,24,18,2,4,3,4,870
59,36,2014-04-11,North 15th and H Streets Richmond Indiana,0.4828313737302301,0,4,Richmond,Indiana,-84.88160599999998,39.838645,0.0,1.6094379124341005,23,18,0,0,4,5,417
60,37,2014-04-12,2100 block of Pauger Street New Orleans Louisiana,0.9010913347279288,1,3,New Orleans,Louisiana,-90.0607641,29.9715019,0.6931471805599453,1.3862943611198906,23,18,1,0,2,0,742
61,38,2014-04-14,1909 19th St SE Washington District of Columbia,0.4828313737302301,0,4,Washington,District of Columbia,-76.9773537,38.8682391,0.0,1.6094379124341005,22,19,0,1,1,1,1094
62,39,2014-04-20,6600 South Michigan Ave Chicago Illinois,0.5375278407684164,0,5,Chicago,Illinois,-87.62309909999998,41.774825,0.0,1.791759469228055,21,19,2,4,3,4,165
63,39,2014-04-20,2902 N. 32nd St. Tampa Florida,1.0986122886681096,2,2,Tampa,Florida,-82.4252178,27.9693738,1.0986122886681098,1.0986122886681098,22,18,0,0,0,0,165
64,39,2014-04-20,1300 block of Jackson St Montgomery Illinois,0.583773044716594,0,6,Montgomery,Illinois,-88.31043170000002,41.7302378,0.0,1.9459101490553128,23,17,3,3,4,3,165
65,40,2014-04-22,6419 Brynhurst Avenue Los Angeles California,0.9010913347279288,1,3,Los Angeles,California,-118.3342778,33.981092700000005,0.6931471805599453,1.3862943611198906,23,17,3,2,1,1,946
66,41,2014-04-25,2000 Chelsea Avenue Memphis Tennessee,1.1849169104036439,2,3,Memphis,Tennessee,-89.9906671,35.1734373,1.0986122886681098,1.3862943611198906,22,19,1,1,0,2,1062
67,42,2014-04-27,Fourth Street Troy New York,0.5375278407684164,0,5,Troy,New York,-73.6911982,42.7213387,0.0,1.791759469228055,22,20,0,0,1,0,405
68,43,2014-04-29,1675 Airport Road Kennesaw Georgia,1.0689760711085556,1,6,Kennesaw,Georgia,-84.6019546,34.0087685,0.6931471805599453,1.9459101490553128,20,20,0,3,3,3,947
69,44,2014-04-30,7200 South Phillips Avenue Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.56576740000001,41.7644081,0.0,1.6094379124341005,19,20,4,2,5,4,105
70,45,2014-05-03,2201 Moore Rd Jonesboro Arkansas,1.6094379124341005,4,4,Jonesboro,Arkansas,-90.6155684,35.81834310000001,1.6094379124341005,1.6094379124341005,19,21,0,0,1,1,732
71,46,2014-05-04,12100 W 44th Wheat Ridge Colorado,0.4828313737302301,0,4,Wheat Ridge,Colorado,-105.1342557,39.77748629999999,0.0,1.6094379124341005,17,21,0,0,0,0,264
72,46,2014-05-04,500 West Erie Street Chicago Illinois,0.9010913347279288,1,3,Chicago,Illinois,-87.64144089999998,41.89389439999999,0.6931471805599453,1.3862943611198906,18,20,4,3,5,5,264
73,47,2014-05-10,Shamrock Dr Decatur Georgia,1.1849169104036439,2,3,Decatur,Georgia,-84.2573284,33.730861700000005,1.0986122886681098,1.3862943611198906,17,20,1,3,2,3,442
74,47,2014-05-10,1100 To Lani Farm Road Stone Mountain Georgia,0.9010913347279288,1,3,Stone Mountain,Georgia,-84.2056446,33.7621635,0.6931471805599453,1.3862943611198906,18,19,2,2,3,2,442
75,47,2014-05-10,3031 Guadalajara Way Sacramento California,1.0689760711085556,1,6,Sacramento,California,-121.5248455,38.6240965,0.6931471805599453,1.9459101490553128,19,18,1,5,0,1,442
76,48,2014-05-11,2517 Shasta Memphis Tennessee,0.6238324625039507,0,7,Memphis,Tennessee,-89.97327949999998,35.1687664,0.0,2.0794415416798357,19,18,2,0,2,0,329
77,49,2014-05-12,3400 West 24th Street Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.710006,41.84806920000001,0.0,1.6094379124341005,18,19,4,3,5,6,904
78,50,2014-05-13,Panther Trail and Childress Drive Atlanta Georgia,0.5375278407684164,0,5,Atlanta,Georgia,-84.486189,33.698155,0.0,1.791759469228055,18,19,3,1,3,2,363
79,51,2014-05-17,2200 block of Adams Place NE Washington District of Columbia,0.5375278407684164,0,5,Washington,District of Columbia,-76.97487989999998,38.9192532,0.0,1.791759469228055,18,19,1,0,1,1,1030
80,51,2014-05-17,84000 block of Pedro Drive Coachella California,0.9010913347279288,1,3,Coachella,California,-116.1887573,33.6851422,0.6931471805599453,1.3862943611198906,19,18,2,4,1,3,1030
81,52,2014-05-18,1643 Cleveland Rd Sandusky Ohio,0.6238324625039507,0,7,Sandusky,Ohio,-82.68584940000002,41.4429533,0.0,2.0794415416798357,19,18,0,1,0,3,360
82,53,2014-05-21,4500 block of Village Fair Drive Dallas Texas,0.9010913347279288,1,3,Dallas,Texas,-96.826773,32.694118,0.6931471805599453,1.3862943611198906,17,19,0,0,0,0,75
83,54,2014-05-23,9541 Flower Street Bellflower California,1.0986122886681096,2,2,Bellflower,California,-118.1303257,33.8821979,1.0986122886681098,1.0986122886681098,17,19,2,4,1,3,224
84,54,2014-05-23,6200 block of Eads Street New Orleans Louisiana,1.1090354888959124,1,7,New Orleans,Louisiana,-90.0507377,30.0227315,0.6931471805599453,2.0794415416798357,18,18,0,0,0,1,224
85,54,2014-05-23,840 Embarcadero Del Norte Goleta (Isla Vista) California,1.7857739119047358,4,8,Goleta (Isla Vista),California,-119.8550772,34.414239200000004,1.6094379124341005,2.19722457733622,19,17,3,3,2,2,224
86,55,2014-05-24,Ocean Boulevard near First Avenue North Myrtle Beach South Carolina,1.178350206951907,3,1,Myrtle Beach,South Carolina,-78.67765870000002,33.8173013,1.3862943611198906,0.6931471805599453,19,18,0,1,0,1,47
87,55,2014-05-24,Strathmoor St Detroit Michigan,0.4828313737302301,0,4,Detroit,Michigan,-83.187569,42.397021,0.0,1.6094379124341005,20,17,0,1,4,7,47
88,56,2014-05-25,2100 block of Joffre Avenue Toledo Ohio,0.9010913347279288,1,3,Toledo,Ohio,-83.58644269999998,41.6616563,0.6931471805599453,1.3862943611198906,20,17,1,0,5,6,350
89,57,2014-05-31,800 block of West Victoria St San Bernardino California,0.9010913347279288,1,3,San Bernardino,California,-117.3008869,34.1111328,0.6931471805599453,1.3862943611198906,20,17,4,3,3,1,970
90,58,2014-06-01,6500 46th Street Sacramento California,0.4828313737302301,0,4,Sacramento,California,-121.45240459999998,38.5084009,0.0,1.6094379124341005,20,17,5,2,1,1,858
91,58,2014-06-01,West Ferdinand Street and North Lavergne Avenue  Chicago Illinois,1.022730867160378,1,5,Chicago,Illinois,-87.75049349999998,41.889518,0.6931471805599453,1.791759469228055,21,16,2,3,4,5,858
92,59,2014-06-02,2660 E. 79th St Chicago Illinois,0.6238324625039507,0,7,Chicago,Illinois,-87.5591115,41.7521292,0.0,2.0794415416798357,21,17,3,2,5,6,166
93,60,2014-06-03,Auburn Avenue Atlanta Georgia,0.9680344001221916,1,4,Atlanta,Georgia,-84.37746120000001,33.7555132,0.6931471805599453,1.6094379124341005,20,17,3,0,3,2,871
94,61,2014-06-04,4900 West West End Avenue Chicago Illinois,0.9010913347279288,1,3,Chicago,Illinois,-87.74818619999998,41.8832704,0.6931471805599453,1.3862943611198906,18,18,3,1,5,5,176
95,62,2014-06-07,10811 W. Ten Mile Rd. Oak Park Michigan,0.9010913347279288,1,3,Oak Park,Michigan,-83.1719483,42.4742091,0.6931471805599453,1.3862943611198906,18,20,1,1,7,4,292
96,62,2014-06-07,Tish Lane Moncks Corner South Carolina,1.022730867160378,1,5,Moncks Corner,South Carolina,-80.13136999999998,33.1714215,0.6931471805599453,1.791759469228055,19,19,1,0,2,0,292
97,63,2014-06-08,611 Hardin Street Opp Alabama,0.9680344001221916,1,4,Opp,Alabama,-86.253191,31.27251889999999,0.6931471805599453,1.6094379124341005,19,19,0,0,3,1,634
98,64,2014-06-09,Rosa Parks Boulevard and Godwin Avenue Paterson New Jersey,0.583773044716594,0,6,Paterson,New Jersey,-74.15908189999998,40.9206769,0.0,1.9459101490553128,19,19,0,0,1,5,11
99,65,2014-06-13,8600 block of South Figueroa Street Los Angeles California,1.178350206951907,3,1,Los Angeles,California,-118.28228500000002,33.9596113,1.3862943611198906,0.6931471805599453,18,19,4,4,3,2,780
100,66,2014-06-15,200 Berry Street Park Forest Illinois,0.4828313737302301,0,4,Park Forest,Illinois,-87.67870440000002,41.5015419,0.0,1.6094379124341005,18,23,3,1,6,6,675
101,66,2014-06-15,5100 Clinton Drive Kokomo Indiana,0.4828313737302301,0,4,Kokomo,Indiana,-86.1251637,40.4368037,0.0,1.6094379124341005,19,22,0,1,7,4,675
102,67,2014-06-20,6600 block of Greig Street Seat Pleasant Maryland,0.4828313737302301,0,4,Seat Pleasant,Maryland,-76.9058536,38.9001431,0.0,1.6094379124341005,19,24,0,0,1,5,278
103,68,2014-06-21,2119 East Alcy Road Memphis Tennessee,0.5375278407684164,0,5,Memphis,Tennessee,-89.99202629999998,35.0779873,0.0,1.791759469228055,17,25,0,0,0,2,1071
104,68,2014-06-21,Florida Avenue and U Street NW Washington District of Columbia,0.4828313737302301,0,4,Washington,District of Columbia,-77.04119509999998,38.9170225,0.0,1.6094379124341005,18,24,0,0,2,4,1071
105,69,2014-06-22,Windsor Avenue Windsor California,0.9010913347279288,1,3,Windsor,California,-122.8189032,38.5478719,0.6931471805599453,1.3862943611198906,17,24,3,4,1,1,830
106,70,2014-06-24,Northwest 12th Avenue and 65th Street Miami Florida,1.3928610645716275,2,7,Miami,Florida,-80.2169445,25.8343478,1.0986122886681098,2.0794415416798357,17,24,0,1,0,1,411
107,71,2014-06-25,Midland Street Lowell Massachusetts,0.5375278407684164,0,5,Lowell,Massachusetts,-71.32692829999998,42.6235027,0.0,1.791759469228055,17,24,0,0,1,2,113
108,72,2014-06-26,Grand St Detroit Michigan,1.0986122886681096,2,2,Detroit,Michigan,-83.1258155,42.3936105,1.0986122886681098,1.0986122886681098,16,24,1,0,5,3,433
109,72,2014-06-26,24th and Locust Milwaukee Wisconsin,0.5375278407684164,0,5,Milwaukee,Wisconsin,-87.9423791,43.0714769,0.0,1.791759469228055,17,23,0,0,5,2,433
110,73,2014-06-27,1600 block of Cathy Street San Diego California,0.9010913347279288,1,3,San Diego,California,-117.0946296,32.5872545,0.6931471805599453,1.3862943611198906,17,25,2,4,1,3,907
111,74,2014-06-28,Fifth Avenue and West 139th Street Manhattan New York,0.4828313737302301,0,4,Manhattan,New York,-73.93575799999998,40.8153398,0.0,1.6094379124341005,17,25,0,1,4,4,527
112,74,2014-06-28,5500 Cedar Point Way Antioch California,0.6238324625039507,0,7,Antioch,California,-121.7575243,37.9570006,0.0,2.0794415416798357,18,24,3,4,1,1,527
113,75,2014-06-29,1100 block of North Vermont Avenue Los Angeles California,1.022730867160378,1,5,Los Angeles,California,-118.2913512,34.0912202,0.6931471805599453,1.791759469228055,18,24,4,3,2,2,1117
114,75,2014-06-29,2800 block of Dayton Saint Louis Missouri,0.4828313737302301,0,4,Saint Louis,Missouri,-90.216016,38.641863,0.0,1.6094379124341005,19,23,0,1,2,3,1117
115,75,2014-06-29,700 block of Bourbon St New Orleans Louisiana,1.1759785542901753,1,9,New Orleans,Louisiana,-90.06545679999998,29.95860729999999,0.6931471805599453,2.302585092994046,20,22,0,0,1,0,1117
116,76,2014-06-30,Scottsdale Circle Lexington Kentucky,0.9010913347279288,1,3,Lexington,Kentucky,-84.47805290000002,38.075951,0.6931471805599453,1.3862943611198906,19,23,0,1,1,2,1205
117,77,2014-07-02,1400 block of West Congress Street Chester Pennsylvania,0.5375278407684164,0,5,Chester,Pennsylvania,-75.38633270000003,39.840613,0.0,1.791759469228055,19,24,0,0,4,5,258
118,78,2014-07-04,1722 Thurgood Street Norfolk Virginia,0.5375278407684164,0,5,Norfolk,Virginia,-76.26257620000001,36.826021,0.0,1.791759469228055,19,24,0,1,3,2,724
119,79,2014-07-05,4700 Piggott Avenue Centreville Illinois,0.5375278407684164,0,5,Centreville,Illinois,-90.1232191,38.5800536,0.0,1.791759469228055,19,24,1,4,3,4,975
120,79,2014-07-05,Broad Ripple Avenue Indianapolis Indiana,0.6238324625039507,0,7,Indianapolis,Indiana,-86.1313339,39.86863029999999,0.0,2.0794415416798357,20,23,1,0,7,5,975
121,79,2014-07-05,333 SE 122ND Ave Portland Oregon,0.9680344001221916,1,4,Portland,Oregon,-122.53802749999998,45.5199441,0.6931471805599453,1.6094379124341005,21,22,0,0,0,1,975
122,79,2014-07-05,861 W. 36th Street Norfolk Virginia,0.6238324625039507,0,7,Norfolk,Virginia,-76.29744040000001,36.8782321,0.0,2.0794415416798357,22,21,1,0,4,1,975
123,79,2014-07-05,1700 Almeda-Genoa Houston Texas,0.583773044716594,0,6,Houston,Texas,-95.395748,29.612063,0.0,1.9459101490553128,23,20,0,1,0,1,975
124,80,2014-07-06,100 block of Erb Street Buffalo New York,0.4828313737302301,0,4,Buffalo,New York,-78.8001941,42.92087470000001,0.0,1.6094379124341005,22,22,1,0,1,1,114
125,80,2014-07-06,4600 block of Natural Bridge Avenue Saint Louis Missouri,0.4828313737302301,0,4,Saint Louis,Missouri,-90.24181709999999,38.6716102,0.0,1.6094379124341005,23,21,1,0,3,2,114
126,80,2014-07-06,NW 20th Ave and NW 62nd St Miami Florida,1.0986122886681096,2,2,Miami,Florida,-80.22998299999998,25.8315384,1.0986122886681098,1.0986122886681098,24,20,1,0,1,0,114
127,81,2014-07-07,312  E Baseline Street  San Bernardino California,0.9680344001221916,1,4,San Bernardino,California,-117.2782089,34.121708899999994,0.6931471805599453,1.6094379124341005,24,20,4,2,2,2,268
128,81,2014-07-07,KY 194E Stopover Kentucky,0.4828313737302301,0,4,Stopover,Kentucky,-82.09269909999998,37.51569250000001,0.0,1.6094379124341005,25,19,1,0,1,1,268
129,82,2014-07-08,35 March Street Providence Rhode Island,0.5375278407684164,0,5,Providence,Rhode Island,-71.424938,41.84164699999999,0.0,1.791759469228055,24,19,0,0,2,4,308
130,83,2014-07-09,711 Leaflet Ln Spring Texas,1.5700812585067028,6,1,Spring,Texas,-95.4420109,30.04083199999999,1.9459101490553128,0.6931471805599453,24,19,1,0,1,0,836
131,84,2014-07-11,5200 West Quincy Street Chicago Illinois,0.9010913347279288,1,3,Chicago,Illinois,-87.7554189,41.8776894,0.6931471805599453,1.3862943611198906,24,19,1,3,3,2,254
132,85,2014-07-12,1700 block of Summit Avenue Pasadena California,1.2999897393843562,3,2,Pasadena,California,-118.1473213,34.1750698,1.3862943611198906,1.0986122886681098,24,21,4,1,3,1,197
133,86,2014-07-13,1700 block of Lincoln Road NE Washington District of Columbia,0.4828313737302301,0,4,Washington,District of Columbia,-77.00855190000001,38.9126684,0.0,1.6094379124341005,23,24,0,0,4,7,243
134,86,2014-07-13,84 West Park Place Stamford Connecticut,0.5375278407684164,0,5,Stamford,Connecticut,-73.54133089999998,41.053512,0.0,1.791759469228055,24,23,0,0,4,5,243
135,86,2014-07-13,12600 Renton Avenue South  Skyway Washington,0.5375278407684164,0,5,Skyway,Washington,-122.23931770000002,47.4917411,0.0,1.791759469228055,25,22,0,0,1,0,243
136,87,2014-07-14,Fulton Avenue  Sacramento California,0.9680344001221916,1,4,Sacramento,California,-121.401552,38.604242600000006,0.6931471805599453,1.6094379124341005,25,22,4,0,1,0,294
137,88,2014-07-19,1300 North Mason Avenue Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.7745077,41.90395059999999,0.0,1.6094379124341005,24,22,2,2,2,1,606
138,89,2014-07-20,Rancho Drive 3400 block  Las Vegas Nevada,0.9010913347279288,1,3,Las Vegas,Nevada,-115.2148405,36.2202574,0.6931471805599453,1.3862943611198906,22,24,0,0,2,1,356
139,89,2014-07-20,5103 block of Bunkum Rd East Saint Louis Illinois,0.9010913347279288,1,3,East Saint Louis,Illinois,-90.0961257,38.6234256,0.6931471805599453,1.3862943611198906,23,23,3,1,3,3,356
140,90,2014-07-21,300 block of Foote Park Lane Memphis Tennessee,0.4828313737302301,0,4,Memphis,Tennessee,-90.04521209999999,35.132856200000006,0.0,1.6094379124341005,23,23,0,1,3,4,1155
